,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea
0,7,2003,2003,196.0,856,856,1710,2,8,0,2003.0,2,548
1,6,1976,1976,0.0,1262,1262,1262,2,6,1,1976.0,2,460
2,7,2001,2002,162.0,920,920,1786,2,6,1,2001.0,2,608
3,7,1915,1970,0.0,756,961,1717,1,7,1,1998.0,3,642
4,8,2000,2000,350.0,1145,1145,2198,2,9,1,2000.0,3,836
5,5,1993,1995,0.0,796,796,1362,1,5,0,1993.0,2,480
6,8,2004,2005,186.0,1686,1694,1694,2,7,1,2004.0,2,636
7,7,1973,1973,240.0,1107,1107,2090,2,7,2,1973.0,2,484
8,7,1931,1950,0.0,952,1022,1774,2,8,2,1931.0,2,468
9,5,1939,1950,0.0,991,1077,1077,1,5,2,1939.0,1,205
10,5,1965,1965,0.0,1040,1040,1040,1,5,0,1965.0,1,384
11,9,2005,2006,286.0,1175,1182,2324,3,11,2,2005.0,3,736
12,5,1962,1962,0.0,912,912,912,1,4,0,1962.0,1,352
13,7,2006,2007,306.0,1494,1494,1494,2,7,1,2006.0,3,840
14,6,1960,1960,212.0,1253,1253,1253,1,5,1,1960.0,1,352
15,7,1929,2001,0.0,832,854,854,1,5,0,1991.0,2,576
16,6,1970,1970,180.0,1004,1004,1004,1,5,1,1970.0,2,480
17,4,1967,1967,0.0,0,1296,1296,2,6,0,1967.0,2,516
18,5,2004,2004,0.0,1114,1114,1114,1,6,0,2004.0,2,576
19,5,1958,1965,0.0,1029,1339,1339,1,6,0,1958.0,1,294
20,8,2005,2006,380.0,1158,1158,2376,3,9,1,2005.0,3,853
21,7,1930,1950,0.0,637,1108,1108,1,6,1,1930.0,1,280
22,8,2002,2002,281.0,1777,1795,1795,2,7,1,2002.0,2,534
23,5,1976,1976,0.0,1040,1060,1060,1,6,1,1976.0,2,572
24,5,1968,2001,0.0,1060,1060,1060,1,6,1,1968.0,1,270
25,8,2007,2007,640.0,1566,1600,1600,2,7,1,2007.0,3,890
26,5,1951,2000,0.0,900,900,900,1,5,0,2005.0,2,576
27,8,2007,2008,200.0,1704,1704,1704,2,7,1,2008.0,3,772
28,5,1957,1997,0.0,1484,1600,1600,1,6,2,1957.0,1,319
29,4,1927,1950,0.0,520,520,520,1,4,0,1920.0,1,240
30,4,1920,1950,0.0,649,649,1317,1,6,0,1920.0,1,250
31,5,1966,2006,0.0,1228,1228,1228,1,6,0,1966.0,1,271
32,8,2007,2007,0.0,1234,1234,1234,2,7,0,2007.0,2,484
33,5,1959,1959,0.0,1398,1700,1700,1,6,1,1959.0,2,447
34,9,2005,2005,246.0,1561,1561,1561,2,6,1,2005.0,2,556
35,8,2004,2005,132.0,1117,1132,2452,3,9,1,2004.0,3,691
36,5,1994,1995,0.0,1097,1097,1097,1,6,0,1995.0,2,672
37,5,1954,1990,650.0,1297,1297,1297,1,5,1,1954.0,2,498
38,5,1953,2007,0.0,1057,1057,1057,1,5,0,1953.0,1,246
39,4,1955,1955,0.0,0,1152,1152,2,6,0,,0,0
40,6,1965,1965,101.0,1088,1324,1324,2,6,1,1965.0,2,440
41,5,1959,1959,0.0,1350,1328,1328,1,5,2,1959.0,1,308
42,5,1983,1983,0.0,840,884,884,1,5,0,1983.0,2,504
43,5,1975,1980,0.0,938,938,938,1,5,0,1977.0,1,308
44,5,1959,1959,0.0,1150,1150,1150,1,6,0,1959.0,1,300
45,9,2005,2005,412.0,1752,1752,1752,2,6,1,2005.0,2,576
46,7,2003,2003,0.0,1434,1518,2149,1,6,1,2003.0,2,670
47,8,2006,2006,0.0,1656,1656,1656,2,7,0,2006.0,3,826
48,4,1920,2008,0.0,736,736,1452,2,8,0,,0,0
49,5,1966,1966,0.0,955,955,955,1,6,0,1966.0,1,386
50,6,1997,1997,0.0,794,794,1470,2,6,0,1997.0,2,388
51,6,1934,1950,0.0,816,816,1176,1,6,1,1985.0,2,528
52,5,1963,1963,0.0,816,816,816,1,5,0,1963.0,2,516
53,9,1981,1987,0.0,1842,1842,1842,0,5,1,1981.0,3,894
54,5,1955,1955,0.0,384,1360,1360,1,6,1,1962.0,2,572
55,6,1964,1964,272.0,1425,1425,1425,2,7,1,1964.0,2,576
56,8,1999,2000,456.0,970,983,1739,2,7,0,1999.0,2,480
57,7,2004,2004,0.0,860,860,1720,2,7,0,2004.0,2,565
58,10,2006,2006,1031.0,1410,1426,2945,3,10,1,2006.0,3,641
59,5,1972,1972,0.0,780,780,780,1,4,0,1973.0,1,352
60,6,2004,2004,0.0,1158,1158,1158,1,5,0,2006.0,2,576
61,5,1920,1996,0.0,530,581,1111,1,6,0,1935.0,1,288
62,8,2006,2006,178.0,1370,1370,1370,2,6,1,2006.0,2,484
63,7,1921,1950,0.0,576,902,1710,2,9,0,1990.0,2,480
64,7,1997,1998,573.0,1057,1057,2034,2,8,0,1998.0,2,645
65,8,2004,2005,344.0,1143,1143,2473,2,9,1,2004.0,3,852
66,7,1970,1989,287.0,1947,2207,2207,2,7,1,1970.0,2,576
67,7,2003,2003,167.0,1453,1479,1479,2,7,0,2003.0,2,558
68,4,1945,1950,0.0,747,747,747,1,4,0,1945.0,1,220
69,7,1953,1953,0.0,1304,1304,2287,2,7,1,1953.0,2,667
70,7,1973,1973,1115.0,2223,2223,2223,2,8,2,1973.0,2,516
71,4,1982,2006,0.0,845,845,845,1,4,0,1987.0,2,360
72,7,1998,1998,40.0,832,885,1718,2,7,1,1998.0,2,427
73,5,1954,2003,104.0,1086,1086,1086,1,6,0,1989.0,2,490
74,3,1915,1950,0.0,840,840,1605,2,8,0,1915.0,1,379
75,4,1973,1973,0.0,462,526,988,1,5,0,1973.0,1,297
76,4,1956,1956,0.0,952,952,952,1,4,0,1956.0,1,283
77,5,1948,2001,0.0,672,1072,1285,1,6,0,1948.0,1,240
78,4,1968,1968,0.0,1768,1768,1768,2,8,0,,0,0
79,5,1910,1981,0.0,440,682,1230,1,5,0,1966.0,2,440
80,6,1968,1968,576.0,896,1182,2142,2,8,1,1968.0,1,509
81,6,1998,1998,443.0,1237,1337,1337,2,5,0,1998.0,2,405
82,8,2007,2007,468.0,1563,1563,1563,2,6,1,2007.0,3,758
83,5,1960,1960,66.0,1065,1065,1065,1,6,0,1974.0,2,461
84,7,1995,1996,22.0,384,804,1474,2,7,1,1995.0,2,400
85,8,1991,1992,284.0,1288,1301,2417,2,9,1,1991.0,2,462
86,6,2005,2005,0.0,684,684,1560,2,6,1,2005.0,2,400
87,6,2009,2009,76.0,612,612,1224,2,4,0,2009.0,2,528
88,3,1915,1982,0.0,1013,1013,1526,1,6,0,,0,0
89,4,1994,1995,0.0,990,990,990,1,5,0,,0,0
90,4,1950,1950,0.0,0,1040,1040,1,4,0,1950.0,2,420
91,5,1961,1961,203.0,1235,1235,1235,1,6,0,1961.0,2,480
92,5,1921,2006,0.0,876,964,964,1,5,0,1921.0,2,432
93,6,1910,1998,0.0,1214,1260,2291,2,9,1,1900.0,2,506
94,6,1997,1997,0.0,824,905,1786,2,7,0,1997.0,2,684
95,6,1993,1993,68.0,680,680,1470,2,6,1,1993.0,2,420
96,7,1999,1999,183.0,1588,1588,1588,2,6,0,1999.0,2,472
97,4,1965,1965,48.0,960,960,960,1,6,0,1965.0,1,432
98,5,1920,1950,0.0,458,835,835,1,5,0,1920.0,1,366
99,4,1959,1959,0.0,950,1225,1225,1,6,0,,0,0
100,6,1977,2001,28.0,1610,1610,1610,2,6,2,1977.0,2,480
101,6,1985,1985,336.0,741,977,1732,2,7,1,1985.0,2,476
102,5,1979,1979,0.0,0,1535,1535,2,8,0,1979.0,2,410
103,7,2009,2009,0.0,1226,1226,1226,2,6,0,2009.0,3,740
104,7,1931,1950,600.0,1040,1226,1818,1,7,2,1951.0,1,240
105,8,2003,2004,768.0,1053,1053,1992,2,9,1,2003.0,2,648
106,4,1885,1995,0.0,641,1047,1047,1,6,0,1954.0,1,273
107,5,1948,1950,0.0,789,789,789,1,5,0,1948.0,1,250
108,5,1919,2005,0.0,793,997,1517,2,7,0,,0,0
109,6,1977,1977,480.0,1844,1844,1844,2,7,1,1977.0,2,546
110,6,1954,1972,0.0,994,1216,1855,2,7,0,1954.0,1,325
111,7,2000,2000,0.0,384,774,1430,2,7,1,2000.0,2,400
112,7,2007,2007,220.0,1264,1282,2696,2,10,1,2007.0,3,792
113,6,1953,1953,184.0,1809,2259,2259,2,7,2,1953.0,2,450
114,6,1945,2002,0.0,1028,1436,2320,2,9,1,1945.0,1,180
115,6,1999,1999,1129.0,729,729,1458,2,5,1,1999.0,2,440
116,5,1962,1962,116.0,1092,1092,1092,1,6,1,1962.0,1,288
117,5,2006,2007,0.0,1125,1125,1125,1,5,0,2007.0,2,430
118,7,1990,1990,0.0,1673,1699,3222,3,11,2,1990.0,3,594
119,6,2005,2006,0.0,728,728,1456,2,8,1,2005.0,2,390
120,6,1969,1969,0.0,938,988,988,1,4,2,1969.0,2,540
121,4,1939,1950,0.0,732,772,1123,1,4,0,1979.0,1,264
122,6,1958,1958,135.0,1080,1080,1080,1,5,0,1958.0,1,288
123,6,1993,1993,0.0,1199,1199,1199,2,5,0,1993.0,2,530
124,6,1979,1998,0.0,1362,1586,1586,2,7,1,1979.0,2,435
125,6,1935,1982,0.0,520,520,754,1,5,0,,0,0
126,6,1976,1976,0.0,1078,958,958,2,5,1,1977.0,2,440
127,5,1930,1950,0.0,672,840,840,1,5,1,,0,0
128,6,1966,1966,266.0,660,660,1348,1,6,1,1966.0,2,453
129,5,1958,1991,85.0,1008,1053,1053,1,6,0,1998.0,2,750
130,7,1966,1966,309.0,924,1216,2157,2,8,2,1966.0,2,487
131,6,2000,2000,40.0,992,1022,2054,2,7,1,2000.0,2,390
132,5,1959,2002,0.0,1063,1327,1327,1,7,0,1974.0,2,624
133,8,2001,2002,136.0,1267,1296,1296,2,6,0,2001.0,2,471
134,5,1968,1993,0.0,1461,1721,1721,2,7,1,1968.0,2,440
135,7,1970,1970,288.0,1304,1682,1682,2,7,1,1970.0,2,530
136,5,1967,1967,196.0,1214,1214,1214,2,5,1,1967.0,1,318
137,7,1988,1989,70.0,1907,1959,1959,3,9,0,1989.0,3,766
138,8,1999,2000,320.0,1004,1004,1852,2,7,2,1999.0,3,660
139,6,1997,1997,0.0,928,928,1764,2,7,0,1997.0,2,470
140,4,1971,1971,0.0,864,864,864,1,5,1,,0,0
141,7,2005,2005,0.0,1734,1734,1734,2,7,0,2005.0,2,660
142,5,1952,1952,0.0,910,910,1385,2,6,0,2000.0,2,720
143,7,1999,1999,183.0,1490,1501,1501,2,6,0,1999.0,2,577
144,5,1963,1963,336.0,1728,1728,1728,2,10,0,1963.0,2,504
145,6,2004,2006,50.0,970,970,1709,2,7,0,2004.0,2,380
146,5,1931,1993,0.0,715,875,875,1,5,0,1931.0,1,180
147,7,2001,2001,180.0,884,884,2035,2,8,1,2001.0,2,434
148,7,2004,2005,120.0,1080,1080,1080,1,6,0,,0,0
149,5,1936,1950,0.0,896,896,1344,1,7,0,1936.0,1,240
150,5,1975,1975,0.0,969,969,969,1,5,0,1975.0,2,440
151,8,2007,2008,436.0,1710,1710,1710,2,6,1,2007.0,3,866
152,6,1971,1971,252.0,825,1097,1993,2,8,1,1971.0,2,495
153,6,1960,1975,0.0,1602,1252,1252,1,4,1,1960.0,2,564
154,6,1923,1950,0.0,1200,1200,1200,1,7,0,1923.0,1,312
155,6,1924,1950,0.0,572,572,1096,1,5,0,,0,0
156,5,1950,1950,0.0,0,1040,1040,1,5,0,1950.0,2,625
157,8,2009,2010,84.0,774,774,1968,2,8,1,2009.0,3,680
158,7,2004,2005,0.0,991,991,1947,2,8,1,2004.0,2,678
159,7,2005,2006,456.0,1392,1392,2462,2,9,1,2006.0,2,576
160,6,1984,1984,0.0,1232,1232,1232,2,6,0,1984.0,2,516
161,9,2003,2004,664.0,1572,1572,2668,2,10,2,2003.0,3,726
